state_code,person_id,supervision_district,supervision_level,race
US_OZ,0002234250,DISTRICT_1,MINIMUM,BLACK
US_OZ,0000704262,DISTRICT_1,MINIMUM,BLACK
US_OZ,0001890313,DISTRICT_1,MAXIMUM,BLACK
US_OZ,0009788108,DISTRICT_1,MAXIMUM,BLACK
US_OZ,0000948038,DISTRICT_2,MINIMUM,BLACK
US_OZ,0001874647,DISTRICT_2,MAXIMUM,BLACK
US_OZ,0007950658,DISTRICT_3,MINIMUM,BLACK
US_OZ,0007444038,DISTRICT_3,MINIMUM,BLACK
US_OZ,0002216344,DISTRICT_4,MINIMUM,BLACK
US_OZ,0000844737,DISTRICT_4,MINIMUM,BLACK
US_OZ,0003118772,DISTRICT_4,MAXIMUM,BLACK
US_OZ,0009574936,DISTRICT_5,MINIMUM,BLACK
US_OZ,0004947334,DISTRICT_1,MINIMUM,HISPANIC
US_OZ,0002009500,DISTRICT_1,MINIMUM,HISPANIC
US_OZ,0004919118,DISTRICT_1,MAXIMUM,HISPANIC
US_OZ,0003720282,DISTRICT_1,MAXIMUM,HISPANIC
US_OZ,0001163123,DISTRICT_3,MINIMUM,HISPANIC
US_OZ,0000606294,DISTRICT_4,MAXIMUM,HISPANIC
US_OZ,0005722435,DISTRICT_1,MAXIMUM,WHITE
US_OZ,0001886752,DISTRICT_1,MAXIMUM,WHITE
US_OZ,0007363985,DISTRICT_2,MINIMUM,WHITE
US_OZ,0003732076,DISTRICT_3,MINIMUM,WHITE
US_OZ,0009836253,DISTRICT_3,MINIMUM,WHITE
US_OZ,0005693971,DISTRICT_3,MAXIMUM,WHITE
US_OZ,0007601374,DISTRICT_3,MAXIMUM,WHITE
US_OZ,0005036324,DISTRICT_4,MAXIMUM,WHITE
US_OZ,0003478833,DISTRICT_4,MAXIMUM,WHITE
US_OZ,0006323241,DISTRICT_5,MINIMUM,WHITE
