state_code,person_id,age_group,facility,gender,admission_reason,race,length_of_stay
US_OZ,0003282596,<25,FACILITY_1,MALE,NEW_ADMISSION,BLACK,months_3_6
US_OZ,0006852232,<25,FACILITY_1,MALE,NEW_ADMISSION,WHITE,months_3_6
US_OZ,0004003247,<25,FACILITY_1,MALE,NEW_ADMISSION,BLACK,months_9_12
US_OZ,0005934785,<25,FACILITY_1,MALE,NEW_ADMISSION,BLACK,months_9_12
US_OZ,0002510463,<25,FACILITY_1,MALE,NEW_ADMISSION,WHITE,months_9_12
US_OZ,0001248321,<25,FACILITY_1,MALE,NEW_ADMISSION,WHITE,months_9_12
US_OZ,0006942580,<25,FACILITY_1,MALE,NEW_ADMISSION,BLACK,months_12_18
US_OZ,0003531145,<25,FACILITY_1,MALE,NEW_ADMISSION,WHITE,months_12_18
US_OZ,0004577373,<25,FACILITY_1,MALE,NEW_ADMISSION,WHITE,months_12_18
US_OZ,0001455324,<25,FACILITY_1,MALE,NEW_ADMISSION,HISPANIC,months_18_24
US_OZ,0001736244,<25,FACILITY_1,FEMALE,NEW_ADMISSION,BLACK,months_3_6
US_OZ,0000902547,<25,FACILITY_1,FEMALE,NEW_ADMISSION,HISPANIC,months_9_12
US_OZ,0003624261,<25,FACILITY_1,FEMALE,NEW_ADMISSION,HISPANIC,months_9_12
US_OZ,0000720064,<25,FACILITY_1,FEMALE,NEW_ADMISSION,BLACK,months_12_18
US_OZ,0003519475,<25,FACILITY_1,FEMALE,NEW_ADMISSION,BLACK,months_12_18
US_OZ,0000127010,<25,FACILITY_1,FEMALE,NEW_ADMISSION,HISPANIC,months_12_18
US_OZ,0005723888,<25,FACILITY_1,FEMALE,NEW_ADMISSION,HISPANIC,months_12_18
US_OZ,0004038728,<25,FACILITY_1,FEMALE,NEW_ADMISSION,WHITE,months_12_18
US_OZ,0009336990,<25,FACILITY_1,FEMALE,NEW_ADMISSION,WHITE,months_12_18
US_OZ,0009786204,<25,FACILITY_1,FEMALE,NEW_ADMISSION,BLACK,months_18_24
US_OZ,0004057832,<25,FACILITY_1,FEMALE,NEW_ADMISSION,BLACK,months_18_24
US_OZ,0006652165,<25,FACILITY_1,FEMALE,NEW_ADMISSION,WHITE,months_18_24
US_OZ,0009970932,<25,FACILITY_1,FEMALE,NEW_ADMISSION,WHITE,months_18_24
US_OZ,0001569516,<25,FACILITY_2,MALE,NEW_ADMISSION,HISPANIC,months_3_6
US_OZ,0000210092,<25,FACILITY_2,MALE,NEW_ADMISSION,WHITE,months_3_6
US_OZ,0000968869,<25,FACILITY_2,MALE,NEW_ADMISSION,WHITE,months_3_6
US_OZ,0009387978,<25,FACILITY_2,MALE,NEW_ADMISSION,BLACK,months_9_12
US_OZ,0000931681,<25,FACILITY_2,MALE,NEW_ADMISSION,HISPANIC,months_9_12
