state_code,date_in_population,time_period,person_id,age_group,facility,gender,admission_reason,race
US_OZ,2017-01-01,months_25_60,0001434928,<25,FACILITY_1,MALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0001872052,<25,FACILITY_1,MALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0003744299,<25,FACILITY_1,FEMALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0009970287,<25,FACILITY_1,FEMALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0002484690,<25,FACILITY_2,MALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0004119872,<25,FACILITY_2,MALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0008797729,<25,FACILITY_2,MALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0001895305,<25,FACILITY_2,FEMALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0006746898,<25,FACILITY_2,FEMALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0007233737,<25,FACILITY_2,FEMALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0003734103,<25,FACILITY_2,FEMALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0008210592,<25,FACILITY_2,FEMALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0007743372,<25,FACILITY_2,FEMALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0000083375,<25,FACILITY_3,MALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0005672700,<25,FACILITY_3,MALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0002742088,<25,FACILITY_3,MALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0003936429,<25,FACILITY_3,FEMALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0005394606,<25,FACILITY_3,FEMALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0006552911,<25,FACILITY_4,MALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0005557957,<25,FACILITY_4,MALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0003434918,<25,FACILITY_4,MALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0000523527,<25,FACILITY_4,MALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0002274629,<25,FACILITY_4,FEMALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0003642099,<25,FACILITY_4,FEMALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0002208157,<25,FACILITY_5,MALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0001161068,<25,FACILITY_5,MALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0006864533,<25,FACILITY_5,FEMALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0008652957,<25,FACILITY_5,FEMALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0007213059,<25,FACILITY_5,FEMALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0000795053,25-29,FACILITY_1,MALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0004176337,25-29,FACILITY_1,MALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0005888942,25-29,FACILITY_1,MALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0007830543,25-29,FACILITY_1,FEMALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0000772164,25-29,FACILITY_2,MALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0003677309,25-29,FACILITY_2,FEMALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0002998363,25-29,FACILITY_2,FEMALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0008649899,25-29,FACILITY_2,FEMALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0005955683,25-29,FACILITY_3,MALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0005752032,25-29,FACILITY_3,MALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0007302999,25-29,FACILITY_3,MALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0001213379,25-29,FACILITY_3,MALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0008735127,25-29,FACILITY_4,MALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0008450779,25-29,FACILITY_4,MALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0009526529,25-29,FACILITY_4,MALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0005827781,25-29,FACILITY_4,FEMALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0009590483,25-29,FACILITY_4,FEMALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0009020331,25-29,FACILITY_4,FEMALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0003021930,25-29,FACILITY_5,MALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0003355391,25-29,FACILITY_5,FEMALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0008154906,25-29,FACILITY_5,FEMALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0005622080,25-29,FACILITY_5,FEMALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0003339481,30-34,FACILITY_1,MALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0007286217,30-34,FACILITY_1,MALE,NEW_ADMISSION,HISPANIC
US_OZ,2017-01-01,months_25_60,0003066361,30-34,FACILITY_1,MALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0008325195,30-34,FACILITY_1,MALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0003227538,30-34,FACILITY_2,FEMALE,NEW_ADMISSION,BLACK
US_OZ,2017-01-01,months_25_60,0002764810,30-34,FACILITY_2,FEMALE,NEW_ADMISSION,WHITE
US_OZ,2017-01-01,months_25_60,0009559833,30-34,FACILITY_2,FEMALE,NEW_ADMISSION,WHITE
